P(boon,|"'a) = 100%	
P(members,|his) = 0%	
P(home|his) = 0%	
P(empire|his) = 0%	
P(divine|his) = 0%	
P(rival's|his) = 0%	
P(enemies|his) = 0%	
P(peace.|his) = 0%	
P(enemy."|his) = 0%	
P(benefactor,|his) = 0%	
P(homestead.|his) = 0%	
P(son-in-law.|his) = 0%	
P(companions|his) = 0%	
P(flesh,|his) = 0%	
P(conservative|his) = 0%	
P(adoptive|his) = 0%	
P(foe|his) = 0%	
P(victories|his) = 0%	
P(passion|his) = 0%	
P(attack.|his) = 0%	
P(monastery|his) = 0%	
P(steps|his) = 0%	
P(accusers,|his) = 0%	
P(opponents|his) = 0%	
P(words,|his) = 0%	
P(trunk|his) = 0%	
P(son's|his) = 0%	
P(marriage|his) = 0%	
P(power|his) = 0%	
P(apostolic|his) = 0%	
P(example.|his) = 0%	
P(corn|his) = 0%	
P(use|his) = 0%	
P(ideal,|his) = 0%	
P(works,|his) = 0%	
P(host|his) = 0%	
P(successors;|his) = 0%	
P(father,|his) = 0%	
P(father.|his) = 0%	
P(obedient|his) = 0%	
P(post|his) = 0%	
P(adversary|his) = 0%	
P(vivid|his) = 0%	
P(throne|his) = 0%	
P(comparison|his) = 0%	
P(promise|his) = 0%	
P(actual|his) = 0%	
P(son-in-law|his) = 0%	
P(impenetrable|his) = 0%	
P(age.|his) = 0%	
P(hiding-places,|his) = 0%	
P(freedom|his) = 0%	
P(hatchet|his) = 0%	
P(coasts,|his) = 0%	
P(palisade|his) = 0%	
P(nephews,|his) = 0%	
P(way,|his) = 0%	
P(allegiance.|his) = 0%	
P(allegiance,|his) = 0%	
P(despair|his) = 0%	
P(dominion|his) = 0%	
P(ribs|his) = 0%	
P(tenure,|his) = 0%	
P(efforts|his) = 0%	
P(own.|his) = 0%	
P(road|his) = 0%	
P(passion.|his) = 0%	
P(discoverer.|his) = 0%	
P(vicar|his) = 0%	
P(lands|his) = 0%	
P(hope.|his) = 0%	
P(presence|his) = 0%	
P(civil|his) = 0%	
P(court,|his) = 0%	
P(prisoners|his) = 0%	
P(court.|his) = 0%	
P(profession|his) = 0%	
P(intellectual|his) = 0%	
P(arms|his) = 0%	
P(education.|his) = 0%	
P(accounts|his) = 0%	
P(female|his) = 0%	
P(vagabond|his) = 0%	
P(spurs.|his) = 0%	
P(calling,|his) = 0%	
P(feudal|his) = 0%	
P(calling.|his) = 0%	
P(liege|his) = 0%	
P(translations|his) = 0%	
P(will.|his) = 0%	
P(papal|his) = 0%	
P(unchanging|his) = 0%	
P(father-in-law.|his) = 0%	
P(people."|his) = 0%	
P(disapproval|his) = 0%	
P(captains|his) = 0%	
P(intention|his) = 0%	
P(inner|his) = 0%	
P(way|his) = 1%	
P(letter|his) = 0%	
P(fathers|his) = 0%	
P(head-quarters|his) = 0%	
P(head|his) = 0%	
P(religion|his) = 0%	
P(complacency|his) = 0%	
P(account.|his) = 0%	
P(hands;|his) = 0%	
P(duchy|his) = 0%	
P(preparations|his) = 0%	
P(life."|his) = 0%	
P(failure|his) = 0%	
P(repeated|his) = 0%	
P(uncle|his) = 0%	
P(envoys|his) = 0%	
P(promises.|his) = 0%	
P(orthodoxy.|his) = 0%	
P(children,|his) = 0%	
P(letter,|his) = 0%	
P(hands,|his) = 0%	
P(fleet,|his) = 0%	
P(fraud|his) = 0%	
P(princes|his) = 0%	
P(wish|his) = 0%	
P(nearest|his) = 0%	
P(brother's|his) = 0%	
P(ability."|his) = 0%	
P(duties|his) = 0%	
P(hand|his) = 0%	
P(pontificate|his) = 0%	
P(kinsman|his) = 0%	
P(eyes.|his) = 0%	
P(norman|his) = 0%	
P(eyes,|his) = 0%	
P(dues|his) = 0%	
P(crew;|his) = 0%	
P(side.|his) = 0%	
P(friend,|his) = 0%	
P(preaching|his) = 0%	
P(expedition|his) = 0%	
P(courtiers,|his) = 0%	
P(subject,|his) = 0%	
P(influence|his) = 0%	
P(fellow|his) = 0%	
P(feudatories,|his) = 0%	
P(breast,|his) = 0%	
P(discovery;|his) = 0%	
P(father-in-law|his) = 0%	
P(rule|his) = 0%	
P(goodness|his) = 0%	
P(brother!|his) = 0%	
P(brother.|his) = 0%	
P(remissness|his) = 0%	
P(brother,|his) = 1%	
P(kind,|his) = 0%	
P(syrian|his) = 0%	
P(dukes,|his) = 0%	
P(courtiers;|his) = 0%	
P(cavalry|his) = 0%	
P(functions|his) = 0%	
P(ancestors|his) = 0%	
P(faithful|his) = 0%	
P(dying|his) = 0%	
P(banner.|his) = 0%	
P(orders;|his) = 0%	
P(field|his) = 0%	
P(other|his) = 0%	
P(rank.|his) = 0%	
P(ambitious|his) = 0%	
P(severity|his) = 0%	
P(orders,|his) = 0%	
P(residence|his) = 0%	
P(guest,|his) = 0%	
P(lance|his) = 0%	
P(repressive|his) = 0%	
P(will,"|his) = 0%	
P(widow,|his) = 0%	
P(brothers|his) = 0%	
P(lieutenants,|his) = 0%	
P(shire,|his) = 0%	
P(neck.|his) = 0%	
P(self-chosen|his) = 0%	
P(time|his) = 0%	
P(following;|his) = 0%	
P(gifts|his) = 0%	
P(longing|his) = 0%	
P(subjects,|his) = 0%	
P(subjects.|his) = 0%	
P(death,|his) = 0%	
P(equitable|his) = 0%	
P(death.|his) = 0%	
P(friends|his) = 0%	
P(castle.|his) = 0%	
P(troops,|his) = 0%	
P(servants,|his) = 0%	
P(younger|his) = 0%	
P(land|his) = 0%	
P(kingdom;|his) = 0%	
P(crown;|his) = 0%	
P(wife|his) = 1%	
P(ranks|his) = 0%	
P(rule.|his) = 0%	
P(manner,|his) = 0%	
P(daily|his) = 0%	
P(original|his) = 0%	
P(back.|his) = 0%	
P(crown,|his) = 0%	
P(back,|his) = 0%	
P(sword,|his) = 0%	
P(narrative|his) = 0%	
P(pontificate,|his) = 0%	
P(once|his) = 0%	
P(having|his) = 0%	
P(banishment|his) = 0%	
P(and|his,) = 50%	
P(assumed|his,) = 50%	
P(and|his;) = 100%	
P(generale|histoire) = 100%	
P(and|historian) = 14%	
P(nithard,|historian) = 29%	
P(to|historian) = 14%	
P(daniel|historian) = 14%	
P(rodrigo|historian) = 14%	
P(must|historian) = 14%	
P(mouravieff's|historian,) = 14%	
P(his|historian,) = 14%	
P(chivalry|historian,) = 14%	
P(sparing|historian,) = 14%	
P("he|historian,) = 14%	
P(who|historian,) = 14%	
P(accompanied|historian,) = 14%	
P(that|historians) = 13%	
P(of|historians) = 25%	
P(is|historians) = 13%	
P(affirm|historians) = 13%	
P(vary|historians) = 13%	
P(are|historians) = 13%	
P(can|historians) = 13%	
P(volume|historians,) = 80%	
P(english|historians,) = 20%	
P(the|historians,[29]) = 100%	
P(the|historians.) = 100%	
P(value,|historic) = 33%	
P(results|historic) = 33%	
P(interest|historic) = 33%	
P(associations|historical) = 17%	
P(information|historical) = 17%	
P(probability|historical) = 17%	
P(interest|historical) = 17%	
P(feudalism--was|historical) = 17%	
P(facts.|historical) = 17%	
P(and|histories) = 50%	
P(of|histories) = 50%	
P(and|history) = 3%	
P(has|history) = 3%	
P(for|history) = 3%	
P(that|history) = 3%	
P(of|history) = 44%	
P(is|history) = 6%	
P(there|history) = 3%	
P(it|history) = 3%	
P(must|history) = 3%	
P(as|history) = 6%	
P(itself|history) = 3%	
P(preserved|history) = 3%	
P(begins.|history) = 3%	
P(shows|history) = 6%	
P(by|history) = 3%	
P(gave|history) = 3%	
P(and|history,) = 40%	
P(so|history,) = 20%	
P(contributed|history,) = 20%	
P(each|history,) = 20%	
P(the|history--that) = 100%	
P(a|history.) = 14%	
P(it|history.) = 14%	
P(at|history.) = 14%	
P(emphasizing|history.) = 14%	
P(philip|history.) = 14%	
P("the|history.) = 14%	
P(the|history.) = 14%	
P(he|history.") = 100%	
P(they|history:) = 100%	
P(aslak|hitardal,) = 100%	
P(and|hither) = 40%	
P(with|hither) = 20%	
P(from|hither) = 20%	
P(in|hither) = 20%	
P(devoted|hitherto) = 7%	
P(undreamed|hitherto) = 7%	
P(unplundered|hitherto) = 7%	
P(no|hitherto) = 7%	
P(threatened|hitherto) = 7%	
P(been|hitherto) = 14%	
P(endangered|hitherto) = 7%	
P(paid|hitherto) = 7%	
P(have|hitherto) = 7%	
P(found|hitherto) = 7%	
P(pursued,|hitherto) = 7%	
P(my|hitherto) = 7%	
P(borne|hitherto) = 7%	
P(under|hitherto,) = 100%	
P(another|hits,) = 100%	
P(domus|hoc) = 100%	
P(could|hogs) = 50%	
P(that|hogs) = 50%	
P(there|hogs.") = 100%	
P(and|hogs;) = 100%	
P(forced|hohenstaufen) = 33%	
P(house,|hohenstaufen) = 33%	
P(dynasty.|hohenstaufen) = 33%	
P(the|hohentwiel.) = 100%	
P(his|hoisting) = 100%	
P(on|hold) = 12%	
P(of|hold) = 12%	
P(it|hold) = 6%	
P(fast|hold) = 6%	
P(you|hold) = 6%	
P(wareham|hold) = 6%	
P(to|hold) = 6%	
P(not|hold) = 6%	
P(the|hold) = 24%	
P(out,|hold) = 6%	
P(him|hold) = 12%	
P(found|holder) = 100%	
P(the|holder),) = 100%	
P(your|holder,) = 100%	
P(additional|holder.) = 100%	
P(of|holders) = 67%	
P(are|holders) = 33%	
P(a|holding) = 29%	
P(their|holding) = 29%	
P(the|holding) = 14%	
P(with|holding) = 14%	
P(in|holding) = 14%	
P(a|holds) = 43%	
P(his|holds) = 14%	
P(together,|holds) = 14%	
P(its|holds) = 14%	
P(in|holds) = 14%	
P(they|holidays) = 100%	
P(office|holiest) = 100%	
P(may|holiness) = 50%	
P(to|holiness) = 50%	
P(in|holmlatr.) = 100%	
P(and|holy) = 2%	
P(comfort|holy) = 1%	
P(city.|holy) = 2%	
P(sepulchre,|holy) = 2%	
P(family|holy) = 1%	
P(councils|holy) = 1%	
P(house|holy) = 1%	
P(fathers|holy) = 1%	
P(house").|holy) = 1%	
P(city;|holy) = 1%	
P(see|holy) = 5%	
P(abbot|holy) = 3%	
P(church|holy) = 1%	
P(mussulman|holy) = 2%	
P(ring|holy) = 1%	
P(brotherhood-in-arms,|holy) = 1%	
P(catholic|holy) = 1%	
P(warriors,|holy) = 1%	
P(scriptures,|holy) = 1%	
P(banner,|holy) = 1%	
P(ghost."|holy) = 1%	
P(kaaba,|holy) = 1%	
P(remains|holy) = 1%	
P(family.|holy) = 1%	
P(st.|holy) = 1%	
P(family,|holy) = 1%	
P(father|holy) = 1%	
P(roman|holy) = 5%	
P(religion|holy) = 1%	
P(wars.|holy) = 1%	
P(german|holy) = 1%	
P(virgin,|holy) = 2%	
P(places.|holy) = 1%	
P(orders.|holy) = 1%	
P(churches|holy) = 1%	
P(imamate|holy) = 1%	
P(war|holy) = 2%	
P(places,|holy) = 1%	
P(lance|holy) = 2%	
P(sepulchre;|holy) = 1%	
P(fathers,|holy) = 1%	
P(contest.|holy) = 1%	
P(city|holy) = 5%	
P(profession.|holy) = 1%	
P(spot|holy) = 1%	
P(see,|holy) = 1%	
P(church;|holy) = 1%	
P(gifts|holy) = 1%	
P(communion,|holy) = 1%	
P(baptism.|holy) = 1%	
P(father,|holy) = 1%	
P(father.|holy) = 1%	
P(solitude|holy) = 1%	
P(see.|holy) = 1%	
P(relics,|holy) = 1%	
P(nestor,|holy) = 1%	
P(spirit|holy) = 1%	
P(city,|holy) = 2%	
P(man|holy) = 1%	
P(spirit,|holy) = 2%	
P(land|holy) = 2%	
P(virgins.|holy) = 1%	
P(scriptures|holy) = 1%	
P(places|holy) = 3%	
P(fraternity.|holy) = 2%	
P(ghost;|holy) = 1%	
P(see."|holy) = 1%	
P(sepulchre|holy) = 7%	
P(persons|holy) = 1%	
P(relics|holy) = 1%	
P(mother|holy) = 1%	
P(warriors|holy) = 2%	
P(relics.|holy) = 1%	
P(orthodox,|holy) = 1%	
P(baptism|holy) = 2%	
P(war,|holy) = 2%	
P(_el|holy"),) = 100%	
P(orthodox,|holy,) = 100%	
P(and|homage) = 26%	
P(of|homage) = 16%	
P(as|homage) = 5%	
P(without|homage) = 5%	
P(to|homage) = 47%	
P(and|homage,) = 100%	
P(the|homage.) = 100%	
P(for|home) = 9%	
P(of|home) = 27%	
P(to|home) = 27%	
P(glowing|home) = 9%	
P(with|home) = 18%	
P(he|home) = 9%	
P(and|home,) = 67%	
P(soon|home,) = 17%	
P(would|home,) = 17%	
P(he|home,") = 100%	
P(styr|home.) = 33%	
P(they|home.) = 33%	
P(but|home.) = 33%	
P(the|home;) = 50%	
P(widows|home;) = 50%	
P(attire|homely) = 100%	
P(until|homes) = 25%	
P(again,|homes) = 25%	
P(in|homes) = 50%	
P(developed|homes,) = 100%	
P(with|homestead,) = 100%	
P(that|homestead.) = 100%	
P(from|homesteads) = 100%	
P(which|homesteads,) = 100%	
P(journey.|homeward) = 100%	
P(free|homines_,) = 100%	
P(emperor;|honest) = 100%	
P(to|honestly,) = 100%	
P(and|honesty) = 100%	
P(and|honey) = 100%	
P(and|honey,") = 100%	
P(and|honor) = 16%	
P(of|honor) = 53%	
P(into|honor) = 5%	
P(to|honor) = 11%	
P(the|honor) = 5%	
P(with|honor) = 5%	
P(he|honor) = 5%	
P(and|honor,) = 38%	
P(patriotism,|honor,) = 13%	
P(they|honor,) = 13%	
P(such|honor,) = 13%	
P(the|honor,) = 13%	
P(was|honor,) = 13%	
P(the|honor.) = 50%	
P(henry,|honor.) = 50%	
P(and|honorable) = 25%	
P(accolade.|honorable) = 25%	
P(death|honorable) = 25%	
P(maintenance.|honorable) = 25%	
P(known|honorably) = 100%	
P(title.|honorary) = 50%	
P(primacy|honorary) = 50%	
P(and|honored) = 50%	
P(leader|honored) = 50%	
P(ii|honorius) = 100%	
P(who|honorius,) = 100%	
P(of|honors) = 67%	
P(in|honors) = 33%	
P(preferments,|honors,) = 50%	
P(in|honors,) = 50%	
P(and|hontesire) = 100%	
P(for|hope) = 9%	
P(that|hope) = 18%	
P(thou|hope) = 5%	
P(of|hope) = 45%	
P(doomed|hope) = 5%	
P(after|hope) = 5%	
P(to|hope) = 9%	
P(came|hope) = 5%	
P(and|hope,) = 67%	
P(so|hope,) = 33%	
P(whence,|hope.) = 100%	
P(to|hoped) = 86%	
P(that|hoped) = 14%	
P(would|hoped,) = 100%	
P(succors|hoped-for) = 100%	
P(with|hopeless.) = 100%	
P(and|hopes) = 13%	
P(of|hopes) = 50%	
P(by|hopes) = 13%	
P(than|hopes) = 13%	
P(or|hopes) = 13%	
P(perhaps|hoping) = 50%	
P(to|hoping) = 50%	
P(of|horde) = 20%	
P(rushed|horde) = 20%	
P(was|horde) = 20%	
P(passed|horde) = 20%	
P(no|horde) = 20%	
P(of|hordes) = 100%	
P(frenzied|hordes,) = 100%	
P(and|hordes;) = 100%	
P(thrice,|horn) = 100%	
P(ph.d.|horne,) = 100%	
P(and|horns) = 50%	
P(of|horns) = 50%	
P(and|horns;) = 100%	
P(and|hornstrandir,) = 100%	
P(of|horoscope) = 100%	
P(hour--the|horrible) = 33%	
P(sins|horrible) = 33%	
P(outrages|horrible) = 33%	
P(but|horrible.) = 100%	
P(inspired|horror) = 50%	
P(from|horror) = 50%	
P(of|horrors) = 80%	
P(in|horrors) = 20%	
P(joyfully|horrors,) = 100%	
P(and|horse) = 35%	
P(and,|horse) = 5%	
P(all|horse) = 5%	
P(carried|horse) = 5%	
P(that|horse) = 5%	
P(hill;|horse) = 5%	
P(meantime|horse) = 5%	
P(to|horse) = 20%	
P(gallantly.|horse) = 5%	
P(pawed,|horse) = 5%	
P(hill,|horse) = 5%	
P(shoe.|horse's) = 33%	
P(neck|horse's) = 33%	
P(sides|horse's) = 33%	
P(and|horse,) = 38%	
P(and,|horse,) = 8%	
P(wounding|horse,) = 8%	
P(composed|horse,) = 8%	
P(so|horse,) = 8%	
P(the|horse,) = 8%	
P(drove|horse,) = 8%	
P(representing|horse,) = 8%	
P(gave|horse,) = 8%	
P(these|horse.) = 50%	
P("thou|horse.) = 50%	
P(and|horseback) = 50%	
P(to|horseback) = 50%	
P(so|horseback,) = 50%	
P(but|horseback,) = 50%	
P(then|horseback.) = 33%	
P(the|horseback.) = 33%	
P(he|horseback.) = 33%	
P(good|horseback;) = 100%	
P(and|horseman) = 100%	
P(and|horsemen) = 20%	
P(fled.|horsemen) = 20%	
P(as|horsemen) = 20%	
P(to|horsemen) = 20%	
P(he|horsemen) = 20%	
P(together|horsemen,) = 50%	
P(headed|horsemen,) = 50%	
P(nor|horsemen.) = 100%	
P(and|horses) = 33%	
P(of|horses) = 17%	
P(to|horses) = 8%	
P(only|horses) = 8%	
P(which|horses) = 8%	
P(were|horses) = 8%	
P(with|horses) = 17%	
P(and|horses,) = 50%	
P(confessed|horses,) = 13%	
P(some|horses,) = 13%	
P(but|horses,) = 13%	
P(crawling|horses,) = 13%	
P(one|horses.) = 100%	
P(set|hoseyn) = 33%	
P(was|hoseyn) = 67%	
P(the|hoseyn,) = 100%	
P(of|hospital) = 100%	
P(which|hospitality) = 50%	
P(that|hospitality) = 50%	
P(themselves|hospitallers) = 50%	
P(in|hospitallers) = 50%	
P(at|hospitallers,) = 100%	
P(gerard|hospitallers;) = 100%	
P(or|hospitals,) = 100%	
P(made|host) = 7%	
P(rushed|host) = 7%	
P(of|host) = 7%	
P(is|host) = 7%	
P(had|host) = 7%	
P(was|host) = 14%	
P(as|host) = 7%	
P(so|host) = 7%	
P(at|host) = 7%	
P(which|host) = 7%	
P(in|host) = 7%	
P(might|host) = 7%	
P(seemed|host) = 7%	
P(and|host,) = 20%	
P(the|host,) = 40%	
P(they|host,) = 20%	
P(that|host,) = 20%	
P(but|host.) = 50%	
P(he|host.) = 50%	
P(the|host;) = 100%	
P(baldwin,|hostage) = 100%	
P(but|hostage,) = 100%	
P(be|hostages) = 10%	
P("from|hostages) = 10%	
P(for|hostages) = 40%	
P(to|hostages) = 10%	
P(as|hostages) = 10%	
P(at|hostages) = 10%	
P(or|hostages) = 10%	
P(acknowledging|hostages,) = 33%	
P(and|hostages,) = 33%	
P(weighed|hostages,) = 33%	
P(this|hostages.) = 50%	
P(such|hostages.) = 50%	
P(intentions;|hostile) = 10%	
P(assaults|hostile) = 10%	
P(people|hostile) = 10%	
P(planet,|hostile) = 10%	
P(expedition|hostile) = 10%	
P(feelings|hostile) = 10%	
P(to|hostile) = 20%	
P(nation.|hostile) = 10%	
P(tribes|hostile) = 10%	
P(by|hostilities) = 33%	
P(against|hostilities) = 33%	
P(must|hostilities) = 33%	
P(levied|hostilities;) = 100%	
P(with|hostility) = 10%	
P(of|hostility) = 30%	
P(to|hostility) = 20%	
P(which|hostility) = 10%	
P(between|hostility) = 10%	
P(was|hostility) = 10%	
P(or|hostility) = 10%	
P(and|hostility,) = 100%	
P(met|hosts) = 25%	
P(were|hosts) = 25%	
P(of|hosts) = 50%	
P(was|hosts,) = 100%	
P(season|hot) = 100%	
P(partisan|hot-headed) = 100%	
P(attest|hour) = 10%	
P(of|hour) = 30%	
P(when|hour) = 20%	
P(he|hour) = 10%	
P(was|hour) = 20%	
P(seven,|hour) = 10%	
P(wanting|hour,) = 33%	
P(any|hour,) = 33%	
P(if|hour,) = 33%	
P(decisive|hour--the) = 100%	
P(the|hour;) = 100%	
P(in|hour_) = 100%	
P(of|hours) = 25%	
P(before|hours) = 13%	
P(during|hours) = 13%	
P(the|hours) = 13%	
P(fourscore|hours) = 13%	
P(or|hours) = 13%	
P(he|hours) = 13%	
P(his|hours.) = 100%	
P(and|house) = 5%	
P(on|house) = 5%	
P(of|house) = 71%	
P(is|house) = 5%	
P(had|house) = 5%	
P(to|house) = 5%	
P(with|house) = 5%	
P(from|house").) = 100%	
P(and|house,) = 33%	
P(crowned|house,) = 17%	
P(arrested|house,) = 17%	
P(where|house,) = 17%	
P(under|house,) = 17%	
P(this|house.) = 50%	
P(death-bed|house.) = 50%	
P(gods|household) = 33%	
P(article,|household) = 33%	
P(matters|household) = 33%	
P(these|household.) = 100%	
P(and|houses) = 7%	
P(founded|houses) = 7%	
P(belonging|houses) = 7%	
P(on|houses) = 7%	
P(of|houses) = 20%	
P(belonged|houses) = 7%	
P(when|houses) = 7%	
P(had|houses) = 7%	
P(destroyed|houses) = 7%	
P(to|houses) = 7%	
P(are|houses) = 7%	
P(in|houses) = 7%	
P(the|houses) = 7%	
P(and|houses,) = 20%	
P(was|houses,) = 20%	
P(afterward|houses,) = 20%	
P(implored|houses,) = 20%	
P(were|houses,) = 20%	
P(many|houses.) = 100%	
P(but|houses;) = 100%	
P(batch|housewife's) = 100%	
P(has|hoveden) = 100%	
P(the|hoveden,) = 100%	
P(but|hoveden.) = 100%	
P(famine|hovels.) = 100%	
P(and|how) = 2%	
P(duke|how) = 2%	
P(all|how) = 2%	
P(costly|how) = 2%	
P(it|how) = 2%	
P(sure|how) = 2%	
P(formidable|how) = 2%	
P(any|how) = 2%	
P(empires|how) = 2%	
P(different|how) = 2%	
P(rapid|how) = 2%	
P(god|how) = 2%	
P(often,|how) = 2%	
P(your|how) = 2%	
P(to|how) = 10%	
P(much|how) = 5%	
P(many|how) = 8%	
P(do|how) = 2%	
P(his|how) = 3%	
P(far|how) = 2%	
P(welcome|how) = 2%	
P(little|how) = 2%	
P(completely|how) = 5%	
P(important|how) = 2%	
P(fervently|how) = 2%	
P(uncertain|how) = 2%	
P(true|how) = 2%	
P(he|how) = 3%	
P(a|how) = 2%	
P(great|how) = 2%	
P(necessary|how) = 2%	
P(effective|how) = 2%	
P(these|how) = 2%	
P(fallacious|how) = 2%	
P(could|how) = 2%	
P(well|how) = 3%	
P(thoroughly|how) = 2%	
P(so|how) = 2%	
P(can|how) = 5%	
P(each|how) = 2%	
P(very|how) = 2%	
P(the|how) = 5%	
P(and|how,) = 50%	
P(in|how,) = 50%	
P(limited|however) = 6%	
P(remote|however) = 6%	
P(miserably|however) = 6%	
P(that|however) = 18%	
P(exalted|however) = 6%	
P(able|however) = 6%	
P(it|however) = 6%	
P(this|however) = 12%	
P(much|however) = 6%	
P(irreconcilable|however) = 6%	
P(serious|however) = 6%	
P(close|however) = 6%	
P(the|however) = 6%	
P(venerable.|however) = 6%	
P(and|however,) = 3%	
P(the|however,) = 5%	
P(generally|however,) = 1%	
P(persisted,|however,) = 1%	
P(turned|however,) = 1%	
P(defeated|however,) = 1%	
P(till|however,) = 1%	
P(at|however,) = 1%	
P(have|however,) = 1%	
P(in|however,) = 3%	
P(ready|however,) = 1%	
P(hastened|however,) = 1%	
P(if|however,) = 3%	
P(are|however,) = 1%	
P(afraid|however,) = 1%	
P(would|however,) = 1%	
P(their|however,) = 1%	
P(had|however,) = 1%	
P(dismissed|however,) = 1%	
P(bernard|however,) = 1%	
P(which|however,) = 3%	
P(regained|however,) = 1%	
P(has|however,) = 3%	
P(was|however,) = 5%	
P(reverted|however,) = 1%	
P(recovered|however,) = 1%	
P(gave|however,) = 1%	
P(el-moizz,|however,) = 1%	
P(his|however,) = 3%	
P(to|however,) = 7%	
P(that|however,) = 4%	
P(very|however,) = 1%	
P(anticipated|however,) = 1%	
P(cannot|however,) = 1%	
P(by|however,) = 1%	
P(he|however,) = 5%	
P(a|however,) = 1%	
P(on|however,) = 3%	
P(made|however,) = 1%	
P(look|however,) = 1%	
P(did|however,) = 1%	
P(of|however,) = 1%	
P(when|however,) = 1%	
P(well|however,) = 1%	
P(supplied|however,) = 1%	
P(this|however,) = 3%	
P(without|however,) = 1%	
P(were|however,) = 3%	
P(subsequently|however,) = 1%	
P(reinforced|however,) = 1%	
P(first|however,) = 1%	
P(but,|however;) = 100%	
P(and|html) = 100%	
P(contributions|http://pglaf.org/fundraising.) = 100%	
P(and|hubba) = 17%	
P(on|hubba) = 17%	
P(himself|hubba) = 17%	
P(declines|hubba) = 17%	
P(had|hubba) = 17%	
P(before|hubba) = 17%	
P(as|hubba,) = 25%	
P(with|hubba,) = 25%	
P(the|hubba,) = 25%	
P(in|hubba,) = 25%	
P(de|hue) = 100%	
P(by|huesca) = 100%	
P(stones|huge) = 33%	
P(barks|huge) = 33%	
P(horns|huge) = 33%	
P(capet|hugh) = 8%	
P(embarked|hugh) = 4%	
P(of|hugh) = 29%	
P(de|hugh) = 33%	
P(had|hugh) = 4%	
P(was|hugh) = 8%	
P(d'amboise,|hugh) = 4%	
P(capet;|hugh) = 4%	
P(marries|hugh) = 4%	
P(a|hugh,) = 25%	
P(count|hugh,) = 25%	
P(not|hugh,) = 25%	
P(knight|hugh,) = 25%	
P(the|hugh.) = 100%	
P(the|hugo) = 100%	
P(bishop|hugo,) = 100%	
P(maigrot,|hugues) = 100%	
P(and|human) = 6%	
P(mind,|human) = 6%	
P(nature,|human) = 6%	
P(judgments.|human) = 6%	
P(character.|human) = 6%	
P(forms|human) = 6%	
P(blood.|human) = 6%	
P(beings|human) = 6%	
P(race|human) = 6%	
P(beings.|human) = 6%	
P(affairs,|human) = 6%	
P(enterprise|human) = 6%	
P(ambition,|human) = 6%	
P(feelings."|human) = 6%	
P(abodes|human) = 6%	
P(pride|human) = 6%	
P(establishment|human) = 6%	
P(brought|human,) = 100%	
P(clause|humane) = 100%	
P(and|humanity) = 100%	
P(influence|humanizing) = 100%	
P(and|humber,) = 50%	
P(submitted|humber,) = 50%	
P(now|humbert) = 100%	
P(a|humbert,) = 100%	
P(and|humble) = 10%	
P(his|humble) = 10%	
P(people|humble) = 10%	
P(one|humble) = 10%	
P(himself|humble) = 10%	
P(guise|humble) = 10%	
P(the|humble) = 10%	
P(gait|humble) = 10%	
P(or|humble) = 10%	
P(shepherd,|humble) = 10%	
P(himself,|humbled) = 33%	
P(to|humbled) = 33%	
P(the|humbled) = 33%	
P(himself|humbles) = 100%	
P(the|humbling) = 100%	
P(for|humbly) = 17%	
P(thanked|humbly) = 17%	
P(solicited|humbly) = 17%	
P(prostrating|humbly) = 17%	
P(requests|humbly) = 17%	
P(asked|humbly) = 17%	
P(for|humbre,) = 100%	
P(the|hume,) = 100%	
P(at|humiliated) = 100%	
P(confession|humiliating) = 100%	
P(of|humiliation) = 50%	
P(which|humiliation) = 50%	
P(and|humiliation,) = 33%	
P(to|humiliation,) = 33%	
P(he|humiliation,) = 33%	
P(however|humiliation.) = 100%	
P(moreover,|humiliation;) = 100%	
P(of|humility) = 50%	
P(for|humility) = 50%	
P(and|humility,) = 67%	
P(chose|humility,) = 33%	
P(and|humor,) = 100%	
P(the|humored) = 100%	
P(and|hundred) = 34%	
P(pater-nosters|hundred) = 1%	
P(gold|hundred) = 1%	
P(magnificent|hundred) = 1%	
P(pieces|hundred) = 1%	
P(tenants-in-chief|hundred) = 1%	
P(times.|hundred) = 1%	
P(in|hundred) = 1%	
P(warships|hundred) = 1%	
P(huge|hundred) = 1%	
P(court|hundred) = 1%	
P(lords,|hundred) = 1%	
P(chain-elephants,|hundred) = 2%	
P(swords|hundred) = 1%	
P(pounds.]|hundred) = 1%	
P(to|hundred) = 1%	
P(arabian|hundred) = 1%	
P(years,|hundred) = 3%	
P(captives|hundred) = 1%	
P(thousand|hundred) = 8%	
P(horses|hundred) = 1%	
P(hogs;|hundred) = 1%	
P(couple|hundred) = 1%	
P(men|hundred) = 2%	
P(years.[20]|hundred) = 1%	
P(wolves'|hundred) = 1%	
P(knights|hundred) = 1%	
P(years|hundred) = 6%	
P(thousand.|hundred) = 1%	
P(pounds|hundred) = 1%	
P(of|hundred) = 2%	
P(shillings.|hundred) = 1%	
P(prisoners.|hundred) = 1%	
P(germans,|hundred) = 1%	
P(men,|hundred) = 1%	
P(men.|hundred) = 1%	
P(miles|hundred) = 1%	
P(thousand;|hundred) = 2%	
P(common|hundred) = 1%	
P(houses;|hundred) = 1%	
P(other|hundred) = 2%	
P(and|hundred,) = 33%	
P(the|hundred,) = 33%	
P(two|hundred,) = 33%	
P(hubba|hundred--with) = 100%	
P(some|hundred.) = 50%	
P(no|hundred.) = 50%	
